text,labels
"ano, zemřel 28. března 2012 ve věku 34 let.",2
Dobré vědět. znáte Patricka Tolhoeka?,1
Dokážeme se držet úkolu?,2
"Mořské panny se mi také líbí. Jsou to úžasná stvoření.Hádám, že to cítíš stejně.",2
"Taky tě baví golf, to vypadá, že máme něco společného, stejně jako naše matky.",2
"ne, neznám ji",1
"ani ona nezapomněla , věděla.",1
"Jsem v pohodě. a co ty, Courtney?",1
"to samé tady, máte rádi růžová auta?",1
To je úžasné!  Potřebujeme víc takových učitelů.,2
"Takto se snažila ovlivnit, jako by chtěla říct. Kde jste o ní četl?",1
"Ne, to jsem nevěděl. Věděl jsem jen, že hrála ve Skotsku a vyhrála pohár.",1
znáte manželku Franka Surmana?,1
nezmiňujte se. máte auta pro dámy? mám 3 ferrari,1
jeho oblíbenou hrou v hale je stolní tenis.,2
"Miluji všechny druhy hudby, jakou hudbu milujete vy? Balady?",1
"to je skvělé, ten člověk musí být mocný.",2
"Dobrý den, jmenuji se rayshod můžete představit svou ženu?",2
"Hej, Timiko, víš o Mary Parkerové a o tom, co udělala, že?",1
To je ona. jmenuji se Cadance. jak se máš?,1
"Aha, jasně, prožila zábavný den.",1
"Ahoj holka, jak se máš",1
"my muži se vždy ptáme, zda má poměrně dobrou pověst?",2
"Dobrý den, paní, jak se máte",1
"ahh ok, víte o Madam Margaret Sinclair?",1
"advokáti jako Hale znovu duchovní, když pod národní unie příliš",2
jen tě zdravím,2
"Když byla Vanessa v domě shromáždění, bylo to skvělé období.",1
"Micheale, chci, abys věděl, že obojí je mým koníčkem, hodně jíst a sledovat filmy.",2
"Dobrý den, paní, Jak se vám daří?",1
rozumí tomu pocitu. můžete mi říct něco o Joshuovi Barneym?,1
"nezachytila to dřív, nemůžu se nabažit videoher.",1
Já ano! Miluji Francoise de Rohan! Slyšeli jste o něm?,2
Je členem kazašského národního týmu.,2
Je matkou v domácnosti a má dvě dcery.,1
"Nevlastní otec mě ignoroval a otce jsem nikdy nepoznala, což pravděpodobně vysvětluje mé štěstí na muže.",1
Nemám moc koníčků. Většinu času jenom jím s bráchama.,2
"bez obav. co děláte se svým životem, Johanny, madam?",1
"Rád vás poznávám, podívejte se na ni.",1
Byl to vynikající film o člověku.  Co děláte ve volném čase?,2
"Já kapustu jím rád, a co ty, Dennisi?",2
"Nikdy jsem nebyl fanouškem hokeje, spíše fotbalu. Těším se na zápasy.",2
skvělé. Pokusím se brzy sehnat módu christian kim pro svého manžela. znáte ho?,2
"ano, byl to dobrý začátek pro její skupinu v jejich rodném Spojeném království.",1
"klobouk je pěkná práce, kterou tam má",1
"Páni, to je opravdu dobré vědět, díky, Mary.",1
Byla akademičkou,1
"Mohu znát vaše jméno, mami?",1
Daří se mi velmi dobře,2
"Včera jsem o tom něco málo slyšel, ačkoli se v tom příliš nevyznám.",2
"Dobrý den, pane, jak se máte",2
"Ahoj kamaráde, jak se ti daří?",2
"Jo, teď mi opravdu chybí. Vždycky se snažím chytit Sportcenter.",2
"Četl jsem něco o něm, když jsem hrál quake, Je nacionalista.",2
Hraji za ženský tým washington wizards,1
"To je v pořádku, díky moc, bratře.",2
"Ne tak docela, ale věřím, že je skutečný jako dlouhý den.",2
To je ale šťastlivec! Máte domácí zvířata?,2
Jak dobře ji znáte?,1
Děkuji. Slyšel jsi někdy o Georgi Terwilligerovi?,2
Děkuji. Slyšeli jste někdy o té krásné ženě Tomu Tavaresovi Finsonovi?,1
"Já vím, že ano. Co si myslíte o jeho tématu?",2
"Je nejstarší dcerou Roelstry, princezny z Lanthe. (totéž)",1
"Jmenuji se Vernesha a ty se jmenuješ jak, drahá?",1
"Ano, jedno z mých dětí chce být astronautem. Je velmi zajímavá.",1
"Studuji hudební výchovu, moje učitelka je úžasná, je tak vstřícná. vy?",1
"Já jsem Jimin, těší mě, madam!",1
"Moje žena je fantastická, miluje děti a skvěle se hodí pro tuto práci, i když ne třeba kvůli platu.",1
"no, byla známá tím, že byla/dělá něco pozoruhodného?",1
"to je skvělé, ráda hraju na klarinet.",1
"Zrovna nedávno jsem o ní četl. Je to fotbalistka, která hrála jako útočnice.",1
"Ahoj, jmenuje se Melissa",1
"ano, a teď má Jake i vlastní album, soundtrack k filmu.",2
"woah ona je opravdu milá, jsem v pohodě. jak se máš ty?",1
Slyšeli jste někdy o ženě jménem Dorothy Atkinsonová?,1
"No, já také rád čtu, pomáhá to rozšiřovat znalosti.",1
"Ahoj, jak se dnes večer máte?",1
Vy také! Skvěle jsem se s ním bavil!,2
kdyby mu tak někdo pomohl. obvykle se dívám na tenis a zlato jako na únik.,1
znáte Renee James?její společnost je vhodná pro investice,2
"Já taky, ale ve Springfieldu. John dělá nejlepší barbecue, máš ho rád?",2
"Vyhledal jsem si ji a zjistil, že studovala u mnoha slavných umělců včetně Pabla Picassa!",2
"Ahoj, já jsem Jerwin, jak se máš? Před chvílí jsem viděl Sally.",1
"Joe Biden je kandidátem demokratů, což je politická strana, skupina lidí.",2
"Dobrý den, cítím se skvěle. Cestou domů jsem potkala Toma.",2
"Tak to jsi tedy knihomol, sestřičko.",1
"Tato dáma je Španělka. Má spoustu talentů. Hraje, zpívá, režíruje a produkuje.",1
Ahoj. Je to lakedrick.,1
jak dlouho to bude trvat?,2
"ano, mami, bylo skvělé, že jsi o ní také něco slyšela.",1
"Jo, já jsem z Manhattanu, a co vy, pane?",2
"Díky, je to pro mě relaxace. Mám rád křížovky, je to dobré pro mou plešatící hlavu.",2
"Ano, měly by to dělat všechny ženy.",1
"ne, ale už jsem o ní slyšel",1
pak nebude špatné ji vidět,1
"Ano, tyhle dívky jsou docela talentované.",1
"Ráda vás poznávám, Marie. máte děti? já mám dvě.",1
"Já vím, že? Nejspíš dostala taky hodně zaplaceno.",1
Ahoj rivansh. jak se máš? Jmenuje se Mekkah.,1
"no, můj přítel mě vždycky bral s sebou.",2
Na rozdíl od své ženy jsem chodil nakupovat se svými dcerami.,2
Moje jednovaječné dvojče bylo s mona lisa overdrive.,2
Co víte o siru Marcelu Lapierrovi?,2
"ano, byla pověřena i NASA.",1
"pěkné, je opravdu cool.I like that too.",1
"Miluju ji, chlape. Jaká je vaše oblíbená barva?",1
"Jedu, jak nejrychleji umím, doufám, že mi rozumíte, slečno.",1
měla by se také podívat na Commando a Predator,1
"Jmenuje se Olamide, rád ji poznávám.",1
"je dobrá, má s sebou 7 dalších sourozenců.",1
"Mám ráda operu, uklidňuje mě spolu s mým manželem.",1
"miluji pěší turistiku a kempování, ale nemohu nosit podpatky.",1
"Super, co děláš za práci, zlato? Práce z domova mě baví, krásko.",1
Má tolik důležitých továren.,1
"Ano, pane, dáváme je po částech, dokud kluci nevyrostou.",2
Ona? Takže ta holka támhle není chlap?,1
"Rád vás poznávám, pane. Jakou práci děláte?",2
"Daří se mi dobře. A co ty, bratře?",2
"Avatar je můj oblíbený film. Jaký je váš, pane?",2
"Černá je moje oblíbená. A co vy, pane?",2
Je členem právnické společnosti Horní Kanady.,2
"O té paní toho moc nevím, ale vyrobila také řadu slunečních hodin.",1
"Ne tak docela, ale jeho hity vyšly na nervózních deskách.",2
"Pracuji jako účetní ve Washingtonu. A co vy, madam?",1
"tancování je taky dobré, ale na Edwarda mám raději modrou barvu.",2
"Jan je pozoruhodný! Je dobrá v tom, co dělá",1
"Ahoj Josefe, jak se ti daří?",2
"Jo, jaké máš koníčky, sestřičko?",1
"Opravdu slečno, je vidět, že jste připravena se učit.",1
"Dobrý den, jak se máte, pane",2
"to je hezké, mladý muži. Jsem zdravotní sestra, vdaná a mám pět dětí.",2
"Ahoj, jak se máte, pane",2
"Neuvádí se, v jaké třídě učil, možná to byli čtvrťáci.",2
"Ano, jsem. Byla členkou anglického parlamentu.",1
"Páni, ten chlap je s tímto sportem spojený už dlouho. Co děláte, pane?",2
"To je super, sestřičko! Když zrovna nehraju na bicí, taky rád vařím.",1
To je dobré vědět. řekni mi o ní víc.,1
"Dobrý den, řekla mi, abych se vám představil. jsem haydyn.",1
"Dobře, pane, to by od vás bylo velmi milé. Moc vám děkuji.",2
Jsem z USA. Jak se jako muž vyrovnáváte s pandemií viru corona?,2
Má ta dáma docela dobrou pověst?,1
Objevil se ve stavu dvou hvězd.,2
Snažím se nepropadat panice jako on.,2
Informace o mém týmu mi poskytl ředitel organizace Paul.,2
Zajímavé. Čím byl tak zajímavý?,2
Ano. Ten muž působil v pasadenském divadelním spolku. Co vás ještě baví?,2
"Aha, takže musí být stále naživu?",1
"Věřím, že ano, ráda ji fotím tak, aby vyjadřovala hloubku času v životě.",1
"Nemohu vám o ní nic říct, protože jsem naprostý ignorant, pokud jde o politiku Francie 19. století.",1
"Margrete Auken, dánská politička.",2
"Počkejte, kolik vydělává ročně?",1
Rád jsem ho poznal,2
"Dobrý den, já jsem Jonpierre, jak se má?",2
"Ano, to vím, ale můžete mi o něm něco říct?",2
"Slyšel jsem, že ta žena byla sprinterka. Soutěžila v mnoha disciplínách.",1
Opravdu? Právě jsi dočetl její knihu?,1
"Ona je v pořádku, já jsem Myan.",1
"také sbírá známky, jeho oblíbená skupina jsou brouci",2
"to je super, co dělá ve volném čase?",2
Hraje plážový volejbal.,2
"Dobrá žena, žiji v Baltimoru.",1
To je úžasné. Slyšeli jste o paní Martě Bohn-Meyerové?,1
Bude Wilson zítra lovit lipany?,2
"John plánuje cestovat, takže tráví spoustu času čtením a výzkumem o svých destinacích.",2
"Zpívá od roku 1980, kdy dokonce vydala singl.",1
Je to polský politik.,2
Četli jste nějakou knihu od Jasona Nahrunga (paní)?,1
V 16. století dokázala opravdu velké věci.,1
"Ne tak docela, i když má ráda romantické romány.",1
"Učí na střední škole, konkrétně v 8. třídě.",1
"Pracuje v malé firmě, ale není to dobrá firma.",1
"Modrá je moje oblíbená barva, naprosto mužná.",2
"Ahoj, jmenuji se Rima. Hledám přítele a ráda bych tě poznala.",2
"To je vše, co o ní vím.",1
"Viděli jste pořad Tenchi Universe, který využívá její vysokorychlostní internet?",1
"To je vcelku spravedlivé. Je něco, co dělá obzvlášť ráda?",1
"Ano, byl součástí akce. Byl jsem klaunem v představení.",2
"To je skvělé, hraje také na elektrické housle.",2
"Jsem Eliannys. Jsem baletka. Co děláte, pane?",2
"To je dobré, minulý týden jsem viděl její one-woman-show.",1
"To zní zábavně. Učí na střední škole, přesněji v 8. třídě.",2
"To je úžasné, chlape! Sama hraje na klávesy v kapele.",1
Narodila se v roce 1953 a do odborů vstoupila v roce 1968.,1
"to je velmi správné, můžete mi o něm říct více?",2
"Nelíbí se mi Mark raději mi říkejte Rambo, to je v pohodě.",2
"Stavění domů mě baví, stejně jako jeho. A co vy?",2
Pěkné! Nemá rád nějaké jídlo Nemám rád tacos.,2
"Pěkné, viorica marian..znáte ji?",1
"netušil, že se házená bere tak vážně.,na fotbalovém hřišti",2
"Páni, to se mi líbí, to musíš být fakt dobrá.Právě mi skončil menstruační cyklus.",1
Svůj oblíbený pokrm kuřecí nugetky jím ve své jeskyni.,2
Možná to bylo kvůli jeho špatnému vedení?,2
"Ne tak docela, jen to, že udělala několik skvělých děl.",1
Rád jí pizzu a jeho oblíbeným zvířetem je zebra.,2
Líbí se mi Freedom od Akonovy přítelkyně. A vy?,1
"Možná to tak bylo. Ale měla by vědět, že být hlavním katem je prostě strašidelné.",1
"Je to nějaká vysoká fantasy nové éry, kterou napsal a která je prostě úžasná. Jsem hluchý.",2
Ten člověk je republikán.,2
"On, on si vede dobře. Jmenuji se Charles.",2
"Žije ve městě v Argentině, že? v nejlidnatějším městě v Cruz Alta.",2
Chicago. slyšeli jste o siru Kimovi Englishovi?,2
"preety good, i když jste si uvědomili, jak ironické je, protože má rád rychlou jízdu.",1
"má 2 kočky, jaké máte vy?",1
"Hej, chlape, zníš, jako bys měl zkusit nascar!",2
"Ahoj, já jsem Traelon. Jak se máš, brácho?",2
Je v pořádku. Dívala se na pořad s herečkou Pamelou Ann Davy. Znáte ji?,1
"Jo, on taky ne. Právě dnes se o něm dozvěděl.",2
"Nevadí, když bude chtít chat rychle ukončit.",1
"Super, hraje, nebo se jen dívá?",1
"Viděl jsem ten film s Jasonem Stathamem. moc se mi nelíbil, i když akce byla dobrá.",2
"Vím, jak se cítíš, chlapče. domácí vzdělávání ti nepomohlo.",2
To je pravda. Pomohla také Britkám k titulu na Eschborn Cupu!,1
To mě mrzí. Víte něco o ženě jménem Marian Shields Robinsonová?,1
byla ruská komunistka.,1
"oh, pěkné, že je to oslavující člověk",2
Jste super silný a buff jako muž by mě?,2
"Já vím, že? Nejspíš dostala taky hodně zaplaceno.",1
"Řekla, že se zde provozuje ekoturistika v podobě pěší turistiky, kempování a jízdy na koni.",1
"to je skvělé, tak jaký je tvůj den, člověče",2
Flirtuju se sousedovou dcerou. co děláš pro zábavu?,1
Je mi to moc líto. Máš ráda mužské obrazy? Ve volném čase ano.,2
"Dobře, pane, budu v tom pokračovat. Z čeho máte největší strach? Můj je z výšek.",2
Rád hraje na kytaru. dělám to s místní kapelou.,2
"Ahoj Larine, vypadá jako zábavný člověk, co dělá pro zábavu?",2
"to je velmi správné, jaký je jeho oblíbený film",2
"Paní F.C. patricková je žena, ne muž.",1
nic pozoruhodného. byl dobrým soudcem,1
"lékař, který se narodil v New Yorku, ale snažil se chodit do školy.",2
Máte rádi domácí zvířata? Mám kočky,1
"prosím, řekni mi o něm, zatím ne.",1
"Rád jsem vás poznal, slečno le.",1
"Ano, všichni to děláme, je tak dobrá, že se stala vzorem i pro ostatní.",1
"možná se podívám na Teen Wolf na MTV. slyšel jsem, že Michelle Clunie je v tom taky dobrá.",2
Jako žena ráda vařím a jím mořské plody a inženýrský software. A co vy?,1
Neberu školu tak vážně jako on. Ale on se zajímá o jiné věci.,2
"Byl to velmi dobrý hráč, hrál za mnoho klubů včetně Glasgow Warriors.",2
"Nejsem tak vášnivý, co se týče takových věcí, kromě fotbalu.",2
"Dobrý den, já jsem John a vy princezna, Rád vás poznávám",1
Daří se mi dobře. Co dělá jako kolegyně pro zábavu?,1
"Páni, to je zajímavé, mohl byste mi o něm říct víc?",2
"Dobrý den, je s tím v pořádku?",1
ve volném čase hraje fotbal a na plný úvazek pracuje jako servírka.,1
"to je skvělé slyšet. řekněme, víte něco o holly carpenter jste?",2
Daří se mi dobře. Jak se jí daří?,1
"Ráda chovám psy, protože nesnáším vetřelce, máte také domácího mazlíčka?",2
"Páni, to je čest s ní pracovat!",1
Byl někdy na pláži? Nikdy jsem tam nebyl.,2
"Dobrý den, pane.",2
"Dobrý den, jsem Keoisha, přátelský pán.",2
"klasika. děláš baletku, sportuješ nebo máš ráda nějaký sport?",1
Jmenuje se Khiari a je také postgraduální studentkou.,1
David hraje v nezávislé kapele.,2
Lol. Jim je drsný motorkář.,2
"to je hezké, Řekni mi o vás linie?",2
"to je skvělé, Můj partner to také miluje",2
"Jsem muž, co rád děláš?",1
co je špatného na vaší současné škole pro ženy?,1
"Velmi smutné, co děláš, Susan?",1
"Nemám tušení, kdo to je!",1
"Ahoj, jsem v pořádku. Jak se máš?",2
"Jaký druh prodeje děláte, abyste uživil svou ženu a děti? Je to technika?",2
Kdo je vaše oblíbená kouzelnice?,1
"Jistě, ale já mám rád detailní demauria, víte, jaký jsem člověk.",2
"Ahoj všichni, Jmenuji se Mark, jak se vám daří?",2
"Znáte jeho ženu?, Ano, je členkou právnické společnosti Horní Kanady.",2
"Kdo je Krystyna Janda, polská herečka?",1
"Ahoj holka, jak to tam jde?",1
"Musí být génius, když to všechno ví.",1
"Zajímalo by mě, zda byl efektivním politikem? Nedovedu si představit ten stres.",2
"wow! to je skvělé, rád se dívám na ženský fotbal.",1
"no, byla to fotbalistka",1
"Jaké krásné jméno! Jak byste se popsal, pane alaizahu?",2
"Žiji v Georgii. a co ty, Roberte?",2
Začalo se to od něj očekávat.,2
Její práce byla vynikající. Jako génius oceňuji dobré psaní.,1
"Dobrý den, jak se daří Joshuovi?",2
Jako ženě se mi také daří skvěle.,1
"To je škoda, myslíte si, že byl účinným politikem ?",2
"moc toho o něm nevím. ráda bych, abyste mi to řekli.",2
"mám ráda všechny druhy. bydlím na venkově, daleko od kadeřnictví, takže máme spoustu zvířat.",1
to je úžasné. děláš něco mimo výchovu dětí?,2
"Udělala to ve svých 18 letech. Působivé, nemyslíte?",1
"Páni, to je skvělé, co víte o paní Fancy Nancy?",1
Volný čas trávím se svou přítelkyní.,1
"Už dlouho toužím slyšet o tom muži, mohl byste mi to prosím říct?",2
"Dobrý den,jmenuji se pan Tieshia. Jak se máš, Joe?",2
"Je plachý, ale rád zpívá.",2
to rád slyším. nevlastní otec mě ignoroval a mého otce nikdy nepoznal.,2
"Dobrý den, já jsem elya. jak se dnes máte, pane?",2
"Vím jen, že se na mistrovství světa umístil se svým týmem na 4. místě. Talentovaný!",2
"Nepoužívám Google, protože špehují frajery, které jste",2
V roce 2009 ztvárnila také titulní roli v Evitě v dortmundském divadle.,1
Jsem Connelly. jaké jsou její koníčky?,1
"Je dobrý, díky za optání.",2
Skvělé!!! Cvičí nebo tak něco? Miluju svou sbírku videoher.,1
Ráda hraje basketbal a sleduje televizi. A co ty?,1
"Páni, to je mi moc líto.",2
"ano, hraje fotbal.",1
"wow skvělé je nějaká její populární kolekce, kterou znáte?",1
"Mám dvě děti a dvě kočky, madam.",1
"Megan, máte ráda gotické romány?",1
"Daří se jí skvěle, díky. máte nějaké děti?",1
"Jo, chlape, rád se dívám na televizi., jaké máš koníčky?",2
"Jaké krásné jméno, slečno. Čím se živíte, Antrio?",1
"cool, jakou hudbu dělá?",1
"Působivé, většina lidí o něm má opravdu dobré mínění.",2
"Ahoj, jak se mu daří?",2
"Sbírám hračky, panenky a make-up. co děláš ty?",1
"Ano, chci. Mám rád všechna zvířata. Opravdu, madam?",1
"X-Men: Days of Future Past má pár dobrých věcí, řekl by.",2
"Skvělé, zrovna tu sedím a čtu o Lei Koenigové. Jak se máte, pane?",2
"huh, je nějaký důvod, proč je to Cheryl?",1
Pro své dálkové cesty si mohl najmout auta a řidiče.,1
Čtení časopisů o autech mě baví.,2
"Rád tě poznávám. odkud jsi, chlape?",2
"něco zábavného, pracujete dámo?, pracuji, jsem pokrývač z povolání.",1
"Joe Mrzí mě, že jsi to špatně pochopil. V pátek jsem vždy k dispozici a můžeme si promluvit.",2
"Je krásná a tvrdí, že je z Austinu v Texasu. odkud jsi?",1
"Dobrý den, dobré ráno, Rose. Jsem slečna Shiwana.",1
"Nemám rád školu. Možná bych měl přestat. Myslíte, že je to pro dámu, jako jsem já, vhodné?",1
"To zní zajímavě, odkud je?",1
"Vařím pivo, dělám své, má dům?",1
"Dobře, už to chápu, čím se živí?",2
Neznám ji. Kdo je to?,1
"Rád se dívám, jak chytá za Bruins, je to můj nejoblíbenější hráč!",2
"Právě mi dal hádanku, ale myslím, že vyřešit tento svět bude trvat dlouho.",2
"Nevíte, kde bydlí, nevím přesně, jen vím, že je to město v jižním Walesu.",1
v současné době hledá zaměstnání,1
"To mě mrzí. jmenuji se Bari. jak se jmenuješ, mladá dámo?",1
daří se mi skvěle. slyšeli jste o Blakeu Dresselovi?,2
"Dobrý den, Tome, jsem pan Reesha a rád vás poznávám.",2
"Bylo by skvělé, kdybyste se o ní mohli dozvědět více tím, že si přečtete její příběh.",1
"Jsem mužská zdravotní sestra, to je to, co dělám brzy ráno.",2
Paní Mangerira Chinnappa Muthanna byla indickou válečnou hrdinkou.,1
"Ano, ale protože byl poražen někým, kdo má a-standard, byl také vybrán do soutěže.",2
"Mám se dobře, Jalmere. jak se máš, brácho?",2
"ano, brácho, máš černý pásek v karate?",2
"Ahoj, drahá! jmenuji se jaime. jak se jmenuješ ty?",1
"Jak je, paní, já jsem Damonica.",1
"Hej, kámo! Jak se máš? Já jsem Selana.",2
"Jo, poslouchám hudbu. A co ty?",1
"Já jsem v pořádku, a co ty? Jmenuji se Icie. Jak se jmenuješ ty?",1
Jsem v pohodě. A co ty?,1
"Pracuji už 10 let a mám zkušenosti, ale místo toho byla povýšena ona.",1
Potřebuji znát přesný rok vydání.,2
"Také jsem slyšel, že Liancheng je její domovská provincie.",1
"Proč si myslíte, že skončila v oblasti veřejného zdraví?",1
"to je dobré, hraješ softball?",1
Jmenuji se Coreal a vy madam?,1
"hai, jak se dnes máte, pane",2
Ty znám. Musel být velmi úspěšný.,2
"Můj bývalý přítel tvrdí, že rád čte a já mám ráda široké spektrum autorů, čtete také rádi?",2
"Ten chlap je dobrý chlap, víte něco o chlápkovi jménem Paul Bastide?",2
"Leonardo Dicapro, je to velmi pohledný herec, ahoj, ahoj, jmenuji se Shay a ty?",2
"Dobrý den, pane. Já jsem Donnelle, jak se jmenujete?",2
Jmenuji se Armory a jsem kosmetička.,1
"Ahoj Megan, máme mluvit s Bradem MacGregorem?",1
"Super brácho, tak co děláš?",2
"Líbí se mi její nový film ""The Gentlemen"", líbí se i vám?",1
Je autorkou několika knih o marketingu. Je to docela zajímavá žena.,1
"Je dobrá, děkuji. Jak se jmenuješ? Jsem Kaimarie.",1
Ta žena byla kdysi členkou kanadské Sněmovny reprezentantů.,1
byla australskou političkou,1
"další den sledování ženského tenisu. co děláš pro zábavu, holka?",1
"Dobrý den, jak se vám líbí dokument o tom slavném fotbalistovi?",2
"wow, máš zvláštní jméno Jamario. jak se ti daří",2
"Jak se jmenuje střední škola, na které studuje?",1
"Dvě zaměstnání a škola? Musíš se vyčerpávat, Kevine.",2
"Odkud je Jack ma?, je z Číny, myslím, že ano.",2
"Jmenuji se Debbie, to je hezké jméno, jsem Ajai jménem, tak jak se vám dařilo?",1
"O auta se nezajímám, jako ona. Zajímám se spíš o sport.",1
Nikdy jsem o ní neslyšel. Kdo je to?,1
"Má rád sport, ale nesnáší baseballové čepice.",2
"Ahoj Mary, jak se máš?",1
"Jsem z Las Vegas, stejně jako on. Co s tím?",2
"Jo, já taky. Dva bratři, můj starší bratr a já, jsme šli na avengers:endgame a líbilo se nám to!",2
"Já taky! Myslela jsem, že mám na kalhotách skvrny od pizzy, ale byly to skvrny od inkoustu.",2
"Jak to myslíš, Carlo?",1
"Jsem učitelka ve speciální škole, mám dva krásné syny a skvělého manžela.",1
"Dobrý den, já jsem Alitzah, kdo jste vy?",1
Ahoj! Jmenuji se Chi. Ví něco o armádě?,1
"Oh, to není v pohodě, chceš se naučit péct nebo šít?",1
"cokoli dalšího, co o ní víte, kámo",1
"To je úžasné, Davide. musí být hezké vyhrát šampionát.",2
"Dobře, Jessico. víš o Grantu Woodovi?",1
"Missy, máš nějakou oblíbenou barvu? miluju černou.",1
"Už jsem vám řekla, že moje oblíbená barva je růžová, vím, že to není typické.",2
byl místopředsedou finanční fakulty.,2
"okres siemiatycze se nachází v blízkosti severovýchodního Polska, přímo u jejího domu.",1
víte o té paní Kathy Ostermanové?,1
byl projektovým manažerem pro letadla,2
"Rád chodí na túry, rybaří a obecně se udržuje v kondici.",2
"Polster je servírka, která provozuje dobrý youtube kanál",1
Miluje filmy z Netflixu. Hodně se na ně dívá se svým synem Owenem!,2
"Nemám tušení. Vím, že pracovala na videu.",1
To je skvělé slyšet. Víte o něm něco?,2
"Byl to autor, který v knize Chromozomy ke genomu?",2
"Opravdu? Vím jen, že je spolupředsedou zesnulého kongresmana Jacka Multinationalists.",2
Daří se jí dobře. Jmenuji se Claudie!,1
"Co jsi dělal pro zábavu?, Moje bývalá byla dobrá žena, ale podělala to, Jak se dnes máš?, Mám se skvěle. co jsi dnes dělal?",1
"Co studujete ve škole, měl jsem titul v oblasti řízení, mám titul statistiky, takže to není stejný obor.",2
"Miluji procházky v lese se svou láskou, a co ty, drahá?",1
"všechny dorty, haha. proto má trochu nadváhu.",2
Jako muž si užívám drancování přes den a večer si dopřávám dobré jídlo.,2
"ano, studoval také minmalé povrchy a parametrizoval je.",2
"Je studentkou, která se chce stát zdravotní sestrou.",1
je věřící a má velký hudební talent.,1
"ty miluješ vaření, myslím.. ona miluje poslech hudby",1
"Jeho protiopatření proti systému ""Jeune ecole"" spočívala převážně v destrukci.",2
"Dobrý den, jak se jí daří?",1
"Pro zábavu si rád hraje se svými dětmi, když má čas. A co vy?",2
Nikdy jsem o něm neslyšel. Odkud je?,2
"Dobře. Myslím, že on je rybář, já jsem důstojník národní gardy.",2
"Jo, co děláš rád?",1
"iyad issimaila? Nemůžu říct, že bych o něm slyšel. kdo to je?",2
"Myslím, že není ženatý? Vždycky jsem viděla nějaké chlapy, kteří přicházeli a odcházeli z jeho budovy.",1
"Ano, je to právník.",2
"Byl to návrhář, který šije lyžařské oblečení.",2
Ta žena musí být odvážná a dobrodružná.,1
"Mám se dobře, jak se má ona?",1
"Zajímalo by mě, jestli byl opravdu dobrý sportovec i jako muž.",2
"ano, to je úžasné, chci jednou jako dáma dosáhnout něčeho podobného jako on.",1
"Co děláte?, pracuji v salonu.",1
"víte o Kathy Ostermanové, která bydlí v New Yorku?",1
bylo hezké si s ní povídat,1
"To je skvělé, nemám ráda zimu, vždycky se musím zahalit.",1
Chris Bertram byl v její bývalé firmě ředitelem finančních služeb a finančním ředitelem.,1
"Jaký je váš oblíbený sport? Lidé jsou překvapeni, když jim řeknu, že je to fotbal.",1
Samozřejmě miluji hamburgery a také dorty.,2
