text,label
"“You know, there’s over 100 million people with preexisting conditions,” he said, claiming, “They weren’t able to get insurance before; now they cannot be denied insurance.”",1
23 people were arrested for offences including assaulting police officers at the Antifa and Black Lives Matter demonstrations in London on Sunday.,0
"A 10-hour hearing broadcast on the court’s website showed Sun, China's greatest ever swimmer, and one of its biggest sports stars, to be evasive at times under questioning that was hampered by severe translation issues between Chinese and English.",0
"A 16-time NBA All Star who is considered one of the greatest basketball players of all time, James, 35, reacted angrily this week to the shooting of Blake in Kenosha, Wisconsin, which sparked days of civil unrest.",0
"A 24-year-old woman in Uganda, unable to travel due to coronavirus restrictions, was burned by her Muslim father for purportedly converting to Christianity, according to a persecution watchdog group.",0
"A 60-foot chunk of the Ocean Cleanup device, deployed with much fanfare in the Great Pacific Garbage Patch in October, has broken off and the entire plastic collection system will now be towed back to port for an overhaul and upgrade.",0
"A 70% majority of Americans view the economy as unfairly favoring those with power, and large majorities also say politicians, giant corporations, and wealthy individuals wield too much power over the economy, according to Pew Research Center.",0
A Biden victory would be a victory for radical anti-Americanism.,1
A Biden victory would be a victory for violence in the streets reinforced by an anti-police and pro-criminal bias.,1
"A Biden victory would ensure government-imposed thought-police courses that are anti-history, anti-free thought, anti-White, and anti-male.",1
A Biden victory would mean massive tax increases which would propel America into a depression.,1
A bill proposed by a group of Republican lawmakers on Wednesday that would have amended the Iowa Civil Rights Act by removing protections against discrimination for transgender people is dead,0
"A bipartisan group of lawmakers in Mississippi this week began to draft a resolution to change the state’s flag, as calls have grown to remove the Confederate battle emblem, according to a report.",0
"A Black man shot in the back by police in Kenosha, Wisconsin, was left paralyzed and “fighting for his life,” his family and lawyers said on Tuesday, hours before protesters and authorities clashed for a third night of civil unrest in the lakefront town.",0
"A Black man who was stopped on his bicycle for an alleged “vehicle code” violation was shot to death by two Los Angeles sheriff’s deputies, who fired 15 to 20 rounds after the man punched one officer and dropped a pistol on the ground, authorities said on Tuesday.",0
"A Black man, Floyd died in police custody May 25 after a Minneapolis cop kneeled on his neck for more than eight minutes.",0
A Black policewoman was injured and at least four people stabbed when a day of demonstrations in support of President Donald Trump's election delusions ended in violence Saturday night in Washington D.C. ,0
"A bold statement Wednesday from former Secretary of Defense Gen. James Mattis eviscerating Donald Trump has landed like a bomb in the Senate Republican caucus, sending members fleeing in all different directions.",1
"A Catholic priest in Rhode Island who barred state lawmakers who supported an abortion rights bill from receiving communion at his church has doubled down on his stance, saying abortion is worse than pedophilia.",0
"A city council member in Minneapolis was quoted as claiming that there had been no looting or burning on the first night of the protest, and that police were to blame for subsequent events because they were “incredibly brutal” in response.",1
A code that will blacklist from Oscar consideration any movie that does not meet whatever Orwellian diversity requirements are coming.,1
"A cop shoots a Black man, and a police union flexes its muscle",1
A copy of the flyer also shows the union bosses’ significant support for mass illegal and legal immigration to the United States — an effort to drive up union membership.,1
A cursory Twitter search reveals that accounts supporting the Antifa terrorist movement can easily be found on the platform.,1
"A Democratic National Convention like no other began on Monday, with politicians trading raucous cheers in a crowded arena for speeches delivered from quiet locations across the country because of the coronavirus pandemic.",1
"A diverse group of protesters cheered to hip hop music and tried to argue about police brutality with police officers in riot gear, who occasionally lunged into crowds to pluck people out for arrest after bottles and other projectiles were thrown.",1
"A divided federal appeals court on Tuesday rejected Planned Parenthood’s constitutional challenge to an Ohio law depriving the organization of state funding because it performs abortions, handing a victory to anti-abortion advocates.",0
A donation-based Denver yoga chain which held special classes for minorities and LGBT people was forced to shut down after community activists derided the company as an institution of white supremacy.,1
"A family-run network of pro-gun groups is behind five of the largest Facebook groups dedicated to protesting the shelter-in-place restrictions, according to an NBC News analysis of Facebook groups and website registration information.",0
"A federal judge dismissed the United States women’s soccer team’s bid for equal pay on Friday, rejecting claims the players had been underpaid in a crushing defeat for the reigning world champions.",0
"A federal judge in Tucson, Arizona delivered a blow Monday to the Trump administration’s strategy of criminalizing humanitarian aid work along the southern border with her decision to overturn the convictions of four volunteers on religious freedom grounds.",1
A federal judge on Monday overturned the Trump administration’s approval of a plan by the state of New Hampshire to impose work requirements on people seeking to obtain benefits from the Medicaid health insurance program.,0
"A federal judge on Wednesday temporarily blocked a Trump administration order that allowed state and local governments to refuse the resettling of refugees, finding the policy likely “unlawful.”",0
"A federal visa program allowing international students to work at firms in the United States after graduation appears to have been exploited by fake companies providing false employment verifications, according to an NBC News/NBC Bay Area investigation.",0
"A fifth of U.S. trans people reported discrimination when seeking a home, and more than one in 10 say they have been evicted for being trans, according to the National Center for Transgender Equality.",0
"A firefighter was killed by a falling tree while battling the Australian wildfire crisis overnight, and the prime minister on Sunday said his government was adapting and building resilience to the fire danger posed by climate change.",0
"A former Indonesian police brigadier has filed a complaint to the human rights commission claiming he was fired for being gay, his lawyers said on Monday, in what could be a test case on discrimination in the Southeast Asian country.",0
"A former North Korean diplomat who staged a high-profile defection to the South on Saturday urged an old colleague who has gone missing in Italy to defect to Seoul, following a report that he was seeking asylum in the United States.",0
"A funeral for a Bangladeshi religious leader drew around 100,000 people in defiance of nationwide coronavirus lockdown.",0
"A gaggle of representatives from theologically liberal denominations recently issued a statement against Christian nationalism in America, claiming that it threatens both American democracy and the ability of our religious communities to live in peace.",0
"A Gallup poll reports that women are still more likely to do laundry, clean the house, do grocery shopping, prepare meals, wash dishes and make decisions about furniture and decorations – even among younger generations who are reportedly more egalitarian as ever.",0
A gay men’s group is claiming that Facebook shut down its page after transgender activists repeatedly reported the group for its stance on gender and sexual orientation.,0
"A good conclusion to draw might be that the charity of the top 0.1 percent and of corporations both are vastly overstated and not even fractionally as useful as simply taxing them at the same effective rate as the rest of us pay, so maybe we should get on with that already.",1
"A group of 20 wealthy individuals – including left-wing financier George Soros – signed a letter Monday, begging for a wealth tax and arguing that the U.S has a “moral, ethical, and economic responsibility” to tax wealthy individuals more.",0
A group of artists climbed ladders up one of the many blast walls snaking through the Afghan capital Kabul this week to paint a mural of George Floyd in solidarity with the anti-racism protests kindled by his death in police custody.,0
"A group of House Republicans gathered Tuesday on Capitol Hill to express their anger over two bills proposed by their Democratic colleagues that, if passed, would drastically tighten federal gun laws.",0
"A group of Idaho politicians, including Lt. Gov. Janice McGeachin, appeared in a video in October urging the state to limit restrictions. Sitting in a truck with an American flag draped over the side, McGeachin placed a gun over a Bible. ",0
A group of Muslim women sued New York City after they said they were forced to remove their hijabs after arrests and be photographed with their head and hair uncovered.,0
"A group of people carrying a white nationalist flag were caught on camera Saturday attempting to record a video in front of the Emmett Till memorial in Sumner, Mississippi.",0
A Guatemalan mom who says she sustained severe chemical burns and was sexually assaulted in front of her young daughter during a kidnapping in Mexico is asking the U.S. government to let her into the country while her asylum case plays out.,0
"A gunman opened fire at the Molson Coors Beverage Co brewing complex in Milwaukee on Wednesday, killing five co-workers before he was found dead from an apparently self-inflicted gunshot wound, the city’s police chief said.",0
"A humanitarian ship that has had about 230 rescued migrants on board for almost a week will enter a Maltese port on Wednesday, ending a standoff with Italy which refused to let the ship dock.",0
"A Joe Biden presidency could reset ties with top U.S. trade partner Mexico that have suffered since Donald Trump made his first White House bid, tarring Mexican migrants as rapists and gun-runners and vowing to keep them out with a border wall.",1
"A key part of Warren’s revenue calculations to pay for her healthcare overhaul comes from a new tax on the wealthiest 1% of U.S. individuals, or a “wealth tax”.",0
"A laboratory in China had already successfully grown the virus but had released only the genome sequence, not the sample itself, the Australian Broadcasting Corp. reported.",0
A lawsuit percolating through the courts attempts to weigh the religious liberty of Orthodox Jews with a dire and compelling public health interest.,1
A lawyer for Breonna Taylor’s family on Friday demanded Kentucky’s state attorney general release the evidence presented to a grand jury that decided against charging police officers with homicide in her death during a botched raid.,0
A leader of a movement that urges women to brag about having an abortion promoted the procedure to children in a video from Cut’s HiHo on the YouTube channel.,1
A leading economist who vouched for Democratic presidential candidate Elizabeth Warren’s healthcare reform plan told Reuters on Thursday he doubts its staggering cost can be fully covered alongside her other government programs.,0
"A leading U.S. group of cancer doctors is wary of new Trump administration proposals for lowering drug prices, particularly if new negotiation tools are introduced that will mean the U.S. government no longer routinely pays for all cancer drugs in the Medicare health program for older people.",0
"A London based Islamic group, which purports to be a “human rights organisation”, has had an advertisement claiming the Chinese coronavirus is an act of revenge from Allah pulled from Facebook.",1
A majority of Americans do not agree with Democrats’ gun violence demagoguery. ,1
A man was sent to jail for 16 months Friday for calling in a bogus bomb threat at a London airport because he was running late and wanted to delay his flight.,0
"A Minnesota Catholic leader on Wednesday rejected remarks made by a priest who called Islam the ""greatest threat in the world"" to the United States and Christianity.",0
"A mix of militia members, Confederate followers and supporters of President Donald Trump faced off against more than a hundred left-wing protesters, some armed, many carrying signs or wearing T-shirts supporting Black Lives Matter.",0
"A Multnomah County, Oregon, court had charged Reinoehl with the murder of Aaron Danielson on Saturday, and Portland police issued a warrant for his arrest, asking U.S. marshals to locate him.",0
"A Muslim father in Birmingham, England, is being prosecuted for removing his son from LGBT lessons, which he claims risk the safety of his child.",0
"A narrow plurality of Democrats favor allowing men who say they are transgender to enter women’s sports, but the change is opposed two-to-one by adults, independents, parents, and middle-class voters, says a poll by Rasmussen Reports.",0
A new coronavirus that has killed 26 people in China was confirmed in Europe for the first time on Friday as it spreads despite Chinese attempts to quarantine the city at the heart of the outbreak.,0
A new report reveals that the 2017 GOP tax law was rife with monumental self-dealing by rich GOP lawmakers who have since benefited bigly.,1
"A new Trump administration immigration policy that went into effect Friday has some immigrant communities across the country expressing fear and concern about what happens next for their family members, many of whom will no longer be able to move legally to the United States after waiting years for visas.",0
"A plan known as the Fairness for High-Skilled Immigrants Act is a boon to Silicon Valley billionaires, big business elites, and outsourcing firms, as they would be able to readily import more lower-paid Indian and Chinese foreign workers to take American jobs that would have otherwise gone to American citizens.",1
"A poll released Tuesday finds 75 percent of Americans want substantial restrictions on abortion, including 60 percent of Democrats and 61 percent of those who identify as “pro-choice.”",0
"A president completely out of control, abusing government power to achieve his political ends, and desperate to prevent any check on his colossal Niagara Falls of bullshit, is about to make Twitter an object lesson, the first trophy in Trump's expanding war against free speech.",1
"A previous boom that saw gun sales double over a decade through 2016 corresponded largely with Democratic President Barack Obama’s time in office, when fears that gun control laws would be enacted drove gun aficionados to stock up.",1
"A professor who teaches climate change classes — a subject some would question as a legitimate area of study — said she has seen students who suffer fear, grief, stress, and anxiety about the future.",0
"A protester could be seen throwing an object at Frey as he slinked away. Biden, so far, has enjoyed the luxury of remaining in his basement, hidden away from volatile activists who want answers.",1
A pro-Trump political ad quotes Joe Biden directly and the lying liars at the lying PolitiFact still rate it “mostly false.”,1
A push by Virginia Democrats to loosen restrictions on late-term abortions is erupting into a fierce partisan clash as video of a legislative hearing goes viral.,1
"A quarter of Americans have little or no interest in taking a coronavirus vaccine, a Reuters/Ipsos poll published on Thursday found, with some voicing concern that the record pace at which vaccine candidates are being developed could compromise safety.",0
"A recent piece in The Wall Street Journal by Walter Russell Mead has caused a bit of a stir among the chattering classes. Headlined “The Coronavirus May Make Trump Stronger,” it argues that President Trump’s abysmal and malfeasant handling of the greatest public health emergency in a century is a feature, not a bug, in his quest for a second term.",1
"A recent study conducted by the Karolinska Institute and Linkoping University in Sweden found biological males — claiming to be transgender women — who were administered a full year of hormone therapy, still maintained muscle mass and strength advantages over biological women.",1
A recent study found that college students from high-income households are borrowing more money for school than students from households with lower incomes. The report added that students from wealthier families are responsible for some of the more drastic borrowing increases in recent years.,0
"A reminder: The bill that Republicans in Tennessee are trying to quash would make these hygiene products tax-free for THREE DAYS, once a year!!!!",1
"A report by the United Nations (UN) falsely blamed President Trump for the detention of 100,000 migrant children who, in fact, were held in federal immigration custody in 2015 by President Obama.",0
A report compiled by members of the French Senate has detailed the spread of political Islam across France and listed 44 proposals to combat radical Islamist ideology.,0
A report in The New York Times claims that the UFC star Conor McGregor sexually assaulted a woman in Ireland.,1
A report showed at least 150 neighbourhoods across the country were “held” by Islamist radicals.,1
A Republican group opposed to President Donald Trump is urging voters to end his “American carnage” by voting him out of office in November. And it’s using one of Trump’s favorite TV shows to spread the message.,0
A resounding primary win by Democratic U.S. Representative Alexandria Ocasio-Cortez and a fellow liberal’s lead over a longtime New York congressman signaled fresh momentum for progressive politics amid growing calls for economic and racial justice in the United States.,0
A review of his posts in online message boards revealed he wanted to plant neo-Nazi propaganda inside Nevada middle and high schools.,1
"A second patient, a 58-year-old obese woman with diabetes and arterial hypertension, suffered multi-organ failure and eventually died of a cardiac arrest. According to the authors of the Lancet article, they discovered “lymphocytic endotheliitis in lung, heart, kidney, and liver as well as liver cell necrosis.",0
A senior Democrat on a congressional panel seeking President Donald Trump’s tax returns warned on Saturday that the current Congress may not see the long-sought tax documents without launching an impeachment inquiry.,0
"A senior official at the University of British Columbia has resigned after he liked a series of Tweets that criticized the Black Lives Matter anti-racism campaign, the university and local media said.",0
"A sharp drop in temperatures and wind speed, combined with vehicle and industrial emissions, dust from building sites and smoke from garbage burning has boosted pollution over much of north India, including New Delhi, home to more than 20 million.",0
"A shocking new study says that the ice in the Arctic Ocean will disappear by 2050, which could have ""substantial"" implications on the ecosystem and the climate in the region.",0
A slew of other world leaders and senior officials lined up to express their dismay over what they said was Trump's willingness to hamper the WHO just when the world needs it the most.,0
A small group of Black teenage girls carrying megaphones stood in front of the federal courthouse in downtown Portland near midnight on Thursday facing a largely white band of protesters.,0
A solid majority of student loan borrowers in a recent survey said they would trade their 2020 vote for debt forgiveness.,0
A specter is haunting the West; our elites see intolerant authoritarianism—along with a plethora of related “-phobias” and “-isms”—everywhere.,1
A study shows that the number of children getting routine vaccines to protect them from dangerous diseases has dramatically declined in the wake of the coronavirus.,1
"A Supreme Court filing lays bare the deep chasm between prominent Republicans who believe in the rule of law and wannabe president for life Donald Trump, whose says he enjoys absolute immunity from any inquiry into his conduct.",1
"A surge in people buying guns since the coronavirus pandemic began has flooded the FBI’s background check system, causing a spike in the number of delayed checks and allowing gun sales to proceed without them, FBI data disclosed on Tuesday showed.",0
"A tanker truck drove through thousands of people marching on a Minneapolis highway to protest the death of George Floyd on Sunday before protesters dragged the driver from the cab and beat him, according to a Reuters witness and authorities.",0
"A team of scientists in Australia said on Wednesday they have successfully developed a lab-grown version of the new coronavirus, the first to be recreated outside of China, in a breakthrough that could help quicken the creation of a vaccine.",0
A tear slipped down the cheek of Ghanaian-German artist Zohra Opoku as she recalled how the global Black Lives Matter had kindled her pain and anger while she was stranded away from home due to coronavirus lockdowns.,1
A Texas law requires contractors who work for or do business with the state to certify that they do not boycott Israel or Israeli-occupied territories.,0
"A three-year-old girl in China’s Jiangsu province died after receiving a rabies vaccination last month, an ominous development in light of persistent scandals over low-quality and improperly-handled vaccines.",1
"A top expert on viruses in the administration, Dr. Anthony Fauci, has been told by the White House not to speak publicly about the emerging coronavirus outbreak without permission, according to a report Thursday in the New York Times.",0
A total of 61 Democrats have signed onto a House Resolution demanding President Trump import five times the number of foreign refugees that have arrived this Fiscal Year.,0
"A transgender California prison inmate who was born male but identifies as female underwent gender-reassignment surgery paid for by the state this week in what is believed to be the first such case in the United States, her attorneys said Friday.",0
"A transgender woman, Suki was beaten up by a group of assailants last week with sticks and plastic pipes in Seremban, a town south of the Malaysian capital Kuala Lumpur.",0
"A trio of polls released ahead of Wednesday’s Democratic presidential debate showed a majority of Americans support Medicare for All, but offered conflicting signals about whether the proposed healthcare overhaul could hurt the party in the November 2020 general election.",1
A Trump-loving white security guard with a racist past shot and killed an unarmed Black man during an unprovoked hotel parking lot attack.,1
"A Twitter account claiming to belong to a national ""antifa"" organization and pushing violent rhetoric related to ongoing protests has been linked to the white nationalist group Identity Evropa, according to a Twitter spokesperson.",0
A U.S. advocacy group calling for tougher gun regulations said on Wednesday it will spend $8 million this year to support the campaigns of Texas politicians who back stronger restrictions on owning firearms.,0
A U.S. Food and Drug Administration official on Wednesday pointed to the spread of the new coronavirus to six of the world’s seven continents as he warned of the potential for a global pandemic.,0
"A U.S. official, speaking on condition of anonymity, confirmed that a range of options were under discussion but that it had not yet reached the level of Trump’s top national security team or been taken to the president.",0
"A vaccine is not a requirement for holding next year's postponed Olympics and Paralympics, the CEO of the Tokyo Games said Friday.",0
"A victory by Biden and his vice presidential running mate Kamala Harris, who favor increased gun regulation, could further stoke demand for firearms - and shares of firearms makers - particularly if Democrats wrest control of the Senate from Republicans, giving them majorities in both houses of Congress and making it easier to approve legislation.",0
A woman who was the victim of a brutal gang rape attack in 2007 has spoken out about her ordeal and her attacker not being deported thanks to passengers aboard his flight.,0
"A year after a Democratic wave swept an unprecedented number of women and people of color into higher office all across America, and at a time when Trump’s approval rating is cratering, women should not be afraid of nominating another woman to drive Trump and his brand of pig-headed patriarchy out of the Oval Office.",1
"A young, slender woman with a sign reading “End All Violence” stood at the doors and pleaded with the looters to stop. ",1
"A California rock known for being a canvas for local artists, became the site of a neighborhood battle after ""Black Lives Matter"" artwork was painted over multiple times this past week, according to a report on Monday.",0
"A Minnesota man in his 60s who attended the Sturgis Motorcycle Rally in South Dakota last month has died from COVID-19, health officials said Wednesday.",0
ABC 7 reported that the shootings began about 6 p.m. Friday and continued until just before midnight Sunday.,0
ABC News anchor George Stephanopoulos cut off President Donald Trump on Tuesday during an egregious string of lies about health care at an event with voters.,1
"Abortion ends lives, hurting women and preborn children.",0
Abortion is a savage act of violence against innocent children.,1
Abortion is not healthcare. Healthcare preserves human life. Abortion destroys it.,1
"Abortion is not justice, in fact, it’s the ultimate act of oppression, and we’re gonna take a stand for the voiceless children scheduled to die at Planned Parenthood today.",1
"Abortion propaganda was always meant to obscure the reality of abortion, not justify it.",1
Abortion rights advocates worry this could make it more difficult for women to get access to abortion through the courts or that it could lead to criminalizing contraception or in-vitro fertilization.,0
"Abortionists, who prey on desperate people, should no longer receive your hard-earned tax dollars.",1
"About half of the dozen top-tier of Democratic hopefuls vying for the nomination have endorsed some form of Medicare for All, according to a Reuters analysis of campaign positions.",0
"Abu Othman, like thousands of Kuwaiti men, has struggled to split his time between two wives living in separate homes amid the Gulf state’s strict lockdown to combat the coronavirus.",0
"According to a report released last year, around one-quarter of Germans now come from migrant backgrounds, with the number reaching as high as 40 per cent or more among children under the age of five, according to a report released in 2016.",0
"According to a Washington Post analysis updated on Monday, half of people killed by police are white, but Black Americans are shot at a disproportionate rate. ",0
"According to Lauren Copeland (a political science professor at Baldwin Wallace University in Ohio and another person who worked on the Great Lakes Poll), public support for Obamacare has continued to grow.",0
"According to Planned Parenthood office in Roanoke, Virginia, the abortion giant will continue to perform abortion services during the COVID-19 pandemic, claiming abortion is an “essential” medical service.",1
"According to politician Ralph Brinkhaus, a member of Chancellor Angela Merkel’s Christian Democratic Union (CDU), a Muslim German Chancellor could be a reality as early as 2030.",0
"According to the Guardian, a survey of 15 British female Olympians found that most feel that allowing transgenders to compete alongside natural-born female athletes is likely unfair to the women and they want more research before new rules are made.",0
"According to the latest polling, Biden retains the edge in most of the key general election battleground states, but his advantage is narrowing.",0
"According to the poll, 52% of American adults say they are sympathetic to those who are still gathering to protest the police treatment of minorities, especially African Americans, about 12 percentage points lower than a similar poll that ran in mid-June.",0
"According to white nationalists who promote the Replacement Theory, enemies of the white race are seeking to “replace” whites with non-whites in the United States and many other countries. ",1
"According to The Guardian, many people are fearful of getting tested because of the possible anti-LGBT backlash they might receive.",0
"acked by Virginia’s first Democratic-controlled legislature in over 20 years, Governor Ralph Northam vowed this week to push through new gun-control laws, angering gun-rights advocates who plan to respond with a rally of thousands of armed citizens.",0
"Across the United States, legislators are attempting to pass laws forcing parents to vaccinate their children and/or removing existing exemptions from current vaccine laws.",0
"Activist Dorian Wilde said anti-LGBT statements from officials cause stigma and discrimination towards the community, and transgender people in particular have to bear the brunt of the hatred due to their visibility.",0
Activists for untrammeled entrance into the U.S. by Muslim “refugees” affixed a banner reading “Refugees Welcome” to the pedestal of the Statue of Liberty Tuesday.,1
"Activists planning to line California roadways with anti-vaccination billboards full of misinformation are paying for them through Facebook fundraisers, despite a platform-wide crackdown on such campaigns.",0
Activists’ frustration has only compounded since Chief Executive Mark Zuckerberg’s decision last month to allow two posts by President Trump that many Facebook employees and outside advocates believe broke the company’s content rules.,0
Actor and climate change activist Joaquin Phoenix was spotted at Oscars Party with plastic water bottle after climate change rant.,0
"Actor Idris Elba insists he has been the victim of racism since the moment he was born, comparing questions about his experience with racism to asking him how long he has been breathing.",1
"Actress Rosie Perez took the stand in the rape trial of Harvey Weinstein on Friday to bolster the account of friend and fellow actress Annabella Sciorra, who said she was raped by the former Hollywood producer in the early 1990s.",0
"Actress-turned-feminist activist Emily Ratajkowski and her husband are living in “prime NYC real estate” completely for free, according to a new report.",1
"Add to this toxic mix overmagnification by a media eager for pictures, the disinformation of Russian troll farms plus the president’s own tweets and public remarks.",1
"Advertisements for more than 400 brands including Coca-Cola and Starbucks vanished from Facebook on Wednesday, after the failure of last-ditch talks to stop a boycott over hate speech on the site.",0
African-American women played a major role in obtaining the right to vote even though many of them would not truly enjoy the right themselves to the same extent until decades later.  ,0
"After a surge of enthusiasm that pushed Pete Buttigieg to the top of the field in November, the former South Bend, Indiana, mayor has faded, falling 9 percentage points to land behind both Sanders and Sen. Elizabeth Warren.",0
"After a two month shutdown, professional sports slowly began to re-emerge from under the COVID-19 cloud during the weekend as several events returned to television — all without fans in attendance.",0
"After all, America’s commander-in-chief does have the authority, at his sole discretion, to order the launch of weapons from the vast U.S. nuclear arsenal.",0
"After all, not only was the intrepid, all-controlling/all-seeing hero of their meta-theory—Donald Trump—roundly defeated at the polls, but the anonymous persona at the center of the cult has dropped from sight.",1
"After all, our present administration, however unhinged, hardly launched this madness. President Trump’s rash, risky, and repugnant decision to assassinate Iranian Major General Qassem Suleimani on the sovereign soil of Iraq was only the latest version of what has proven to be a pervasive state of affairs.",1
"After all, who else are they going to find who would be willing to just openly gaslight members of Congress, telling them not to believe the evidence of the dead in Pittsburgh and Christchurch and El Paso and many other mass-killing sites, by wielding her blackness like a shield?",1
"After being forced to issue a humiliating apology for urging doctors to wash hands and wear protective gear, Li died, allegedly of Chinese coronavirus infection, in February.",1
"After days of mounting pressure, the top soccer clubs in Britain said Friday they would ask their players to take a 30 percent pay cut as the sport grapples with the damaging fallout from the coronavirus crisis.",0
"After Donald Trump won the presidency in 2016 and the left-wing terrorists in Antifa took to the streets, everything changed again.",1
"After Donald Trump’s outrageous photo op in which he used federal police to attack peaceful protesters so that he could walk to a church to hold up a Bible, others noted how inappropriate it was for General Mark Milley, the current chairman of the Joint Chiefs of Staff, to not only be tailing behind Donald Trump during this publicized stunt but to be wearing his battle fatigues, something extremely inappropriate for the setting.",1
"After dozens of mass shootings in recent years, however, including at schools like the February 2018 massacre in Parkland, Florida, that left 17 dead, curbing gun violence has become a component of the Democratic policy platform embraced by congressional and presidential candidates.",0
"After Dr. Ulrich Klopfer died in rural Crete, Illinois, on Sept. 3, authorities found ""2,246 medically preserved fetal remains"" in his home. ",0
"After health officials near Portland, Oregon, declared a public health emergency over a measles outbreak that affects mostly young children, the viral infection continues to spread.",0
"After months of the president claiming that voting by mail will lead to fraud and a rigged election, the poll finds that 83% of Republicans say they are at least somewhat concerned that mail-in voting will lead to voter fraud.",0
"After more than a week of George Floyd protests, thousands of New Yorkers gathered Saturday for another day of demonstrations against police brutality and racial equality in the U.S.",0
"After President Donald Trump’s news conference on a positive jobs report Friday morning, the mainstream media contorted a quote from the president to falsely convey he thinks George Floyd is happy about the jobs numbers.",1
"After receiving permission from Israel to visit her grandmother in the occupied West Bank on humanitarian grounds, Rep. Rashida Tlaib decided Friday morning to forego the trip, calling the restrictions an example of “oppressive conditions” that represent everything the congresswoman stands against.",0
"After regaining control of the House of Representatives in the 2018 midterm elections, some Democratic lawmakers have been calling for higher taxes on the wealthy.",0
"After spending the past three months rehabilitating from arthroscopic surgery on his right knee, Williamson struggled to find his shot during the first three quarters, during which he played a little less than 12 minutes.",0
"After Stephen Miller's white nationalist views outed, Latinos ask, 'where's the GOP outrage?'",1
"After Steve King’s offensive implication that white people own Western civilization, Chris Hayes predictably responded with an idiotic remark about Western civilization giving us Hitler.",1
"After that phone call, police asked the couple to come in for questioning, prompting them to flee Saudi Arabia, a country long known for draconian laws against homosexuality.",1
"After the airstrike that killed Iranian Gen. Qasem Soleimani, there were reports that U.S. Customs and Border Patrol detained dozens of people at the Blaine, Washington, port of entry over the weekend.",0
"After the first Black president, Barack Obama, was elected in 2008, the number of hate groups “ballooned,” Miller-Idriss said, just as Ku Klux Klan activity grew again after the 1954 Brown v. Board of Ed. decision desegregating schools, and during the 1960s civil rights movement.",1
"After the murder of George Floyd provoked civil unrest, Donald Trump and the Republican leaders of Congress bloviated extensively about ""law and order."" ",1
"After threatening Iran in a series of tweets hours earlier, Trump seemed eager to lower tensions.",0
"After too many episodes ramming down their throats that racism is wrong, the British Empire was bad, homosexuality is great, Victorian history looked like one great big United Colours of Benetton advert and that a female Doctor is better than a white male one, the series’s viewers have been abandoning it in their droves.",1
"After tremendous pressure on the Department of Homeland Security, Miller is advancing his agenda of not just blocking migrants from entering the country illegally, but making life in the U.S. so unbearable for legal immigrants that they leave the country.",1
"After Trump spoke, doctors and health experts urged people not to drink or inject cleaning agents.",0
"After walking off following another hardcourt loss to Novak Djokovic, allowing Serbia to level the final after Roberto Bautista Agut won the opening singles for Spain, Nadal urged the men's tour and the sport's international governing body to form one major team tournament.",0
"After walking past the mural, Kabul resident Dost Muhammad Momand said it had been painful to watch the video of Floyd’s death and that he identified with the constant fear of violence.",0
